Accepted name (dwc:acceptedNameUsage),Conservation code (dwc:threatStatus),Kingdom (dwc:kingdom),Phylum (dwc:phylum),Class (dwc:class),Order (dwc:order),Family (dwc:family),Native/introduced/feral (dwc:establishmentMeans),Search Area,Search Parameters
"Accipiter fasciatus (Vigors & Horsfield, 1827)",,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,native,"User defined circle: [[128.02506, -17.35106]] 20.0 km.",kingdoms: ['Animalia']
"Afrosternophorus Beier, 1967",,Animalia,Arthropoda,Arachnida,Pseudoscorpiones,Sternophoridae,,"User defined circle: [[128.02506, -17.35106]] 20.0 km.",kingdoms: ['Animalia']
"Amitermes germanus (Hill, 1915)",,Animalia,Arthropoda,Insecta,Blattodea,Termitidae,,"User defined circle: [[128.02506, -17.35106]] 20.0 km.",kingdoms: ['Animalia']
"Anilios guentheri (Peters, 1865)",,Animalia,Chordata,Reptilia,Squamata,Typhlopidae,native,"User defined circle: [[128.02506, -17.35106]] 20.0 km.",kingdoms: ['Animalia']
"Artamus cinereus Vieillot, 1817",,Animalia,Chordata,Aves,Passeriformes,Artamidae,native,"User defined circle: [[128.02506, -17.35106]] 20.0 km.",kingdoms: ['Animalia']
"Artamus personatus (Gould, 1841)",,Animalia,Chordata,Aves,Passeriformes,Artamidae,native,"User defined circle: [[128.02506, -17.35106]] 20.0 km.",kingdoms: ['Animalia']
Austroplebeia,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,"User defined circle: [[128.02506, -17.35106]] 20.0 km.",kingdoms: ['Animalia']
"Chernetinae Menge, 1855",,Animalia,Arthropoda,Arachnida,Pseudoscorpiones,Chernetidae,,"User defined circle: [[128.02506, -17.35106]] 20.0 km.",kingdoms: ['Animalia']
"Chilumena baehrorum Jocqué, 1995",,Animalia,Arthropoda,Arachnida,Araneae,Zodariidae,,"User defined circle: [[128.02506, -17.35106]] 20.0 km.",kingdoms: ['Animalia']
"Chloebia gouldiae (Gould, 1844)",P4,Animalia,Chordata,Aves,Passeriformes,Estrildidae,,"User defined circle: [[128.02506, -17.35106]] 20.0 km.",kingdoms: ['Animalia']
