Accepted name (dwc:acceptedNameUsage),Conservation code (dwc:threatStatus),Kingdom (dwc:kingdom),Phylum (dwc:phylum),Class (dwc:class),Order (dwc:order),Family (dwc:family),Native/introduced/feral (dwc:establishmentMeans),Search Area,Search Parameters
"Acanthagenys rufogularis Gould, 1838",,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
Acariformes,,Animalia,Arthropoda,Arachnida,,,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Accipiter cirrocephalus (Vieillot, 1817)",,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Actitis hypoleucos (Linnaeus, 1758)",MI,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Aegotheles cristatus (Shaw, 1790)",,Animalia,Chordata,Aves,Apodiformes,Aegothelidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Agraptocorixa parvipunctata (Hale, 1922)",,Animalia,Arthropoda,Insecta,Hemiptera,Corixidae,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Amitermes westraliensis (Hill, 1929)",,Animalia,Arthropoda,Insecta,Blattodea,Termitidae,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Amphibolurus longirostris (Boulenger, 1883)",,Animalia,Chordata,Reptilia,Squamata,Agamidae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Amytornis striatus (Gould, 1840)",,Animalia,Chordata,Aves,Passeriformes,Maluridae,native,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
"Aname L. Koch, 1873",,Animalia,Arthropoda,Arachnida,Araneae,Anamidae,,"User defined circle: [[118.90139, -21.07195]] 20.0 km.",kingdoms: ['Animalia']
