Accepted name (dwc:acceptedNameUsage),Conservation code (dwc:threatStatus),Kingdom (dwc:kingdom),Phylum (dwc:phylum),Class (dwc:class),Order (dwc:order),Family (dwc:family),Native/introduced/feral (dwc:establishmentMeans),Search Area,Search Parameters
"Acanthagenys rufogularis Gould, 1838",,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Acanthiza apicalis Gould, 1847",,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Acanthiza apicalis apicalis Gould, 1847",,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Acanthiza chrysorrhoa (Quoy & Gaimard, 1830)",,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Acanthiza robustirostris Milligan, 1903",,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Acanthiza uropygialis Gould, 1838",,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Acartia Dana, 1846",,Animalia,Arthropoda,Maxillopoda,Calanoida,,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Accipiter cirrocephalus cirrocephalus (Vieillot, 1817)",,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
Acizzia,,Animalia,Arthropoda,Insecta,Hemiptera,Psyllidae,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Actitis hypoleucos (Linnaeus, 1758)",MI,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
