Accepted name (dwc:acceptedNameUsage),Conservation code (dwc:threatStatus),Kingdom (dwc:kingdom),Phylum (dwc:phylum),Class (dwc:class),Order (dwc:order),Family (dwc:family),Native/introduced/feral (dwc:establishmentMeans),Search Area,Search Parameters
"Aegotheles cristatus (Shaw, 1790)",,Animalia,Chordata,Aves,Apodiformes,Aegothelidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Aeolosoma Ehrenberg, 1828",,Animalia,Annelida,Polychaeta,,Aeolosomatidae,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Aname L. Koch, 1873",,Animalia,Arthropoda,Arachnida,Araneae,Anamidae,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Anas gracilis Buller, 1869",,Animalia,Chordata,Aves,Anseriformes,Anatidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Anilios bituberculatus (Peters, 1863)",,Animalia,Chordata,Reptilia,Squamata,Typhlopidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Anilios hamatus (Storr, 1981)",,Animalia,Chordata,Reptilia,Squamata,Typhlopidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Anilios waitii (Boulenger, 1895)",,Animalia,Chordata,Reptilia,Squamata,Typhlopidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Antaresia perthensis (Stull, 1932)",,Animalia,Chordata,Reptilia,Squamata,Pythonidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Antechinomys laniger (Gould, 1856)",,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Antechinomys longicaudatus (Spencer, 1909)",,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Anthus novaeseelandiae (J.F.Gmelin, 1789)",,Animalia,Chordata,Aves,Passeriformes,Motacillidae,alien,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Aphelocephala leucopsis (Gould, 1841)",,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Apricia bracteata (L. Koch, 1879)",,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Aquila audax (Latham, 1802)",,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Ardea pacifica Latham, 1802",,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Ardeotis australis (J.E. Gray, 1829)",,Animalia,Chordata,Aves,Otidiformes,Otididae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Argiope protensa L. Koch, 1872",,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,mixed,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Ariadna Audouin, 1826",,Animalia,Arthropoda,Arachnida,Araneae,Segestriidae,mixed,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Artamus cinereus Vieillot, 1817",,Animalia,Chordata,Aves,Passeriformes,Artamidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Artamus minor Vieillot, 1817",,Animalia,Chordata,Aves,Passeriformes,Artamidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Artamus personatus (Gould, 1841)",,Animalia,Chordata,Aves,Passeriformes,Artamidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Australocamptus similis Karanovic, 2004",,Animalia,Arthropoda,Maxillopoda,Harpacticoida,Canthocamptidae,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Austronomus australis Gray, 1838",,Animalia,Chordata,Mammalia,Chiroptera,Molossidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Austrotachardia acaciae (Maskell, 1892)",,Animalia,Arthropoda,Insecta,Hemiptera,Kerriidae,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Barnardius zonarius (Shaw, 1805)",,Animalia,Chordata,Aves,Psittaciformes,Psittaculidae,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Barnardius zonarius zonarius (Gray & Shaw, 1805)",,Animalia,Chordata,Aves,Psittaciformes,Psittaculidae,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Barychelidae Simon, 1892",,Animalia,Arthropoda,Arachnida,Araneae,Barychelidae,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Beierolpium Heurtault, 1976",,Animalia,Arthropoda,Arachnida,Pseudoscorpiones,Olpiidae,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
Bolboceratidae,,Animalia,Arthropoda,Insecta,Coleoptera,Bolboceratidae,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Bos primigenius taurus Linnaeus & Raffles, 1758",,Animalia,,,,,alien,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Brachyurophis approximans (Glauert, 1954)",,Animalia,Chordata,Reptilia,Squamata,Elapidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Brachyurophis semifasciatus (Günther, 1863)",,Animalia,Chordata,Reptilia,Squamata,Elapidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Brevisomabathynella Cho, Park & Ranga Reddy, 2006",,Animalia,Arthropoda,Malacostraca,Bathynellacea,Parabathynellidae,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Brevisomabathynella uramurdahensis Cho & Humphreys, 2010",,Animalia,,,,,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Buddelundia Michaelsen, 1912",,Animalia,Arthropoda,Malacostraca,Isopoda,Armadillidae,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Buprestidae Leach, 1815",,Animalia,Arthropoda,Insecta,Coleoptera,Buprestidae,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Cacatua sanguinea Gould, 1843",,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Calamanthus campestris (Gould, 1841)",,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Candonopsis Vávra, 1891",,Animalia,Arthropoda,Ostracoda,Podocopida,Candonidae,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Candonopsis dani Karanovic & Marmonier, 2002",,Animalia,Arthropoda,Ostracoda,Podocopida,Candonidae,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Canis familiaris L., 1758",,Animalia,Chordata,Mammalia,Carnivora,Canidae,alien,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Castiarina quadrifasciata (Saunders, 1868)",,Animalia,,,,,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Cephaloplatus (Cephaloplatus) reticulatus Bergroth, 1895",,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Certhionyx variegatus Lesson, 1830",,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Cethegus Thorell, 1881",,Animalia,Arthropoda,Arachnida,Araneae,Dipluridae,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Chalinolobus gouldii (Gray, 1841)",,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Chelodina steindachneri Siebenrock, 1901",,Animalia,Chordata,Reptilia,Testudines,Chelidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Chiltoniidae J. L. Barnard, 1972",,Animalia,Arthropoda,Malacostraca,Amphipoda,Chiltoniidae,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Chironomidae Newman, 1834",,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
Cicadidae,,Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Cincloramphus cruralis (Vigors & Horsfield, 1827)",,Animalia,Chordata,Aves,Passeriformes,Sylviidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Cinclosoma castaneothorax Gould, 1848",,Animalia,Chordata,Aves,Passeriformes,Cinclosomatidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Cinclosoma marginatum Sharpe, 1883",,Animalia,Chordata,Aves,Passeriformes,Cinclosomatidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Clivina (Clivina) diluta Darlington, 1953",,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Clivina (Clivina) frenchi Sloane, 1896",,Animalia,Arthropoda,Insecta,Coleoptera,"Carabidae Latreille, 1802",,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Clivina (Clivina) wiluna Darlington, 1953",,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Clivina Latreille, 1802",,Animalia,,,,,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
Coleoptera,,Animalia,Arthropoda,Insecta,Coleoptera,,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Coleotichus costatus (Fabricius, 1787)",,Animalia,,,,,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Colluricincla harmonica (Latham, 1802)",,Animalia,Chordata,Aves,Passeriformes,Pachycephalidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Coracina novaehollandiae (Gmelin, 1789)",,Animalia,Chordata,Aves,Passeriformes,Campephagidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Cormocephalus aurantiipes (Newport, 1844)",,Animalia,Arthropoda,Chilopoda,Scolopendromorpha,Scolopendridae,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Cormocephalus turneri Pocock, 1901",,Animalia,Arthropoda,Chilopoda,Scolopendromorpha,Scolopendridae,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Cracticus nigrogularis (Gould, 1837)",,Animalia,Chordata,Aves,Passeriformes,Artamidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Cracticus torquatus (Latham, 1802)",,Animalia,Chordata,Aves,Passeriformes,Artamidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Cryptoblepharus plagiocephalus (Cocteau, 1836)",,Animalia,Chordata,Reptilia,Squamata,Scincidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Ctenocolletes centralis Houston, 1983",,Animalia,,,,,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Ctenophorus caudicinctus (Günther, 1875)",,Animalia,Chordata,Reptilia,Squamata,Agamidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Ctenophorus isolepis (Fischer, 1881)",,Animalia,Chordata,Reptilia,Squamata,Agamidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Ctenophorus isolepis gularis (Sternfeld, 1924)",,Animalia,Chordata,Reptilia,Squamata,Agamidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Ctenophorus isolepis isolepis (Fischer, 1881)",,Animalia,Chordata,Reptilia,Squamata,Agamidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Ctenophorus nuchalis (De Vis, 1884)",,Animalia,Chordata,Reptilia,Squamata,Agamidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Ctenophorus reticulatus (Gray, 1845)",,Animalia,Chordata,Reptilia,Squamata,Agamidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Ctenophorus scutulatus (Stirling & Zietz, 1893)",,Animalia,Chordata,Reptilia,Squamata,Agamidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Ctenotus helenae Storr, 1969",,Animalia,Chordata,Reptilia,Squamata,Scincidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Ctenotus leonhardii (Sternfeld, 1919)",,Animalia,Chordata,Reptilia,Squamata,Scincidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Ctenotus pantherinus (Peters, 1866)",,Animalia,Chordata,Reptilia,Squamata,Scincidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Ctenotus quattuordecimlineatus (Sternfeld, 1919)",,Animalia,Chordata,Reptilia,Squamata,Scincidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Ctenotus severus Storr, 1969",,Animalia,Chordata,Reptilia,Squamata,Scincidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Culicidae Meigen, 1818",,Animalia,Arthropoda,Insecta,Diptera,Culicidae,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Cyclorana maini Tyler & Martin, 1977",,Animalia,Chordata,Amphibia,Anura,Pelodryadidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Cyclorana occidentalis Anstis, Price, Roberts, Catalano, Hines, Doughty & Donnellan, 2016",,Animalia,Chordata,Amphibia,Anura,Pelodryadidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Cyclorana platycephala (Gunther, 1873)",,Animalia,Chordata,Amphibia,Anura,Pelodryadidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Cyrtophora parnasia L. Koch, 1872",,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Danaus chrysippus petilia (Stoll, 1790)",,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Dasycercus blythi (Waite, 1904)",P4,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Delma butleri Storr, 1987",,Animalia,Chordata,Reptilia,Squamata,Pygopodidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Delma nasuta Kluge, 1974",,Animalia,Chordata,Reptilia,Squamata,Pygopodidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Demansia psammophis (Schelgel, 1837)",,Animalia,Chordata,Reptilia,Squamata,Elapidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Demansia psammophis (Schlegel, 1837)",,Animalia,Chordata,Reptilia,Squamata,Elapidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Desognanops humphreysi Platnick, 2008",,Animalia,Arthropoda,Arachnida,Araneae,Trachycosmidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Diplacodes bipunctata (Brauer, 1865)",,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Diplodactylus conspicillatus Lucas & Frost, 1897",,Animalia,Chordata,Reptilia,Squamata,Diplodactylidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Diplodactylus granariensis Storr, 1979",,Animalia,Chordata,Reptilia,Squamata,Diplodactylidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Diplodactylus granariensis rex Storr, 1988",,Animalia,Chordata,Reptilia,Squamata,Diplodactylidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Diplodactylus pulcher Steindachner, 1870",,Animalia,Chordata,Reptilia,Squamata,Diplodactylidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Diplodactylus vittatus Gray, 1832",,Animalia,Chordata,Reptilia,Squamata,Diplodactylidae,mixed,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Drepanotermes perniger (Froggatt, 1898)",,Animalia,,,,,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Dromaius novaehollandiae (Latham, 1790)",,Animalia,Chordata,Aves,Casuariiformes,Casuariidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Dussartcyclops uniarticulatus (Karanovic, 2004)",,Animalia,Arthropoda,Maxillopoda,Cyclopoida,Cyclopidae,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Egernia depressa (Günther, 1875)",,Animalia,Chordata,Reptilia,Squamata,Scincidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Egretta novaehollandiae (Latham, 1790)",,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Eilica Keyserling, 1891",,Animalia,Arthropoda,Arachnida,Araneae,Gnaphosidae,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Elseyornis melanops (Vieillot, 1818)",,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Enchytraeidae Vejdovsky, 1879",,Animalia,Annelida,Oligochaeta,Tubificida,Enchytraeidae,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Eolophus roseicapilla (Vieillot, 1817)",,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Epthianura aurifrons Gould, 1838",,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Epthianura tricolor Gould, 1841",,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Equus africanus asinus Linnaeus, 1758",,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Equus ferus caballus Linnaeus, 1758",,Animalia,,,,,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Eremiascincus richardsonii (Gray, 1845)",,Animalia,Chordata,Reptilia,Squamata,Scincidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Eretes australis (Erichson, 1842)",,Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Erythrogonys cinctus Gould, 1838",,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Ethmostigmus pachysoma L. E. Koch, 1983",,Animalia,Arthropoda,Chilopoda,Scolopendromorpha,Scolopendridae,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Eucyrtops Pocock, 1897",,Animalia,Arthropoda,Arachnida,Araneae,Idiopidae,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Eurostopodus argus Hartert, 1892",,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Falco cenchroides Vigors & Horsfield, 1827",,Animalia,Chordata,Aves,Falconiformes,Falconidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Falco longipennis longipennis Swainson, 1837",,Animalia,Chordata,Aves,Falconiformes,Falconidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Falco peregrinus Tunstall, 1771",OS,Animalia,Chordata,Aves,Falconiformes,Falconidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Felis catus Linnaeus, 1758",,Animalia,Chordata,Mammalia,Carnivora,Felidae,alien,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Fierscyclops fiersi (De Laurentiis, Pesce & Humphreys, 2001)",,Animalia,,,,,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Formicidae Latreille, 1809",,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Gaius tealei Rix, Raven & Harvey, 2018",,Animalia,Arthropoda,Arachnida,Araneae,Idiopidae,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Gallieniellidae Millot, 1947",,Animalia,Arthropoda,Arachnida,Araneae,Gallieniellidae,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Gavicalis virescens (Vieillot, 1817)",,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Gehyra crypta Kealley, Doughty, Pepper, Keogh, Hillyer & Huey, 2018",,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Gehyra variegata (Duméril & Bibron, 1836)",,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Geopelia cuneata (Latham, 1802)",,Animalia,Chordata,Aves,Columbiformes,Columbidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Gerygone fusca (Gould, 1838)",,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Gerygone fusca mungi Matthews, 1912",,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
Glenoleon,,Animalia,Arthropoda,Insecta,Neuroptera,Myrmeleontidae,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Gowidon longirostris (Boulenger, 1883)",,Animalia,Chordata,Reptilia,Squamata,Agamidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Grallina cyanoleuca (Latham, 1802)",,Animalia,Chordata,Aves,Passeriformes,Monarchidae,native,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
"Gymnorhina tibicen (Latham, 1802)",,Animalia,Chordata,Aves,Passeriformes,Artamidae,,"User defined circle: [[120.19283, -26.62281]] 20.0 km.",kingdoms: ['Animalia']
