Accepted name (dwc:acceptedNameUsage),Conservation code (dwc:threatStatus),Kingdom (dwc:kingdom),Phylum (dwc:phylum),Class (dwc:class),Order (dwc:order),Family (dwc:family),Native/introduced/feral (dwc:establishmentMeans),Search Area,Search Parameters
"Acanthagenys rufogularis Gould, 1838",,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,native,"User defined circle: [[119.76839, -32.10358]] 20.0 km.",kingdoms: ['Animalia']
"Acanthiza apicalis Gould, 1847",,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,native,"User defined circle: [[119.76839, -32.10358]] 20.0 km.",kingdoms: ['Animalia']
"Aname L. Koch, 1873",,Animalia,Arthropoda,Arachnida,Araneae,Anamidae,,"User defined circle: [[119.76839, -32.10358]] 20.0 km.",kingdoms: ['Animalia']
"Anthochaera carunculata (Shaw, 1790)",,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,native,"User defined circle: [[119.76839, -32.10358]] 20.0 km.",kingdoms: ['Animalia']
"Antichiropus exclamatus Car & Harvey, 2014",,Animalia,Arthropoda,Diplopoda,Polydesmida,Paradoxosomatidae,,"User defined circle: [[119.76839, -32.10358]] 20.0 km.",kingdoms: ['Animalia']
"Artamus cinereus Vieillot, 1817",,Animalia,Chordata,Aves,Passeriformes,Artamidae,native,"User defined circle: [[119.76839, -32.10358]] 20.0 km.",kingdoms: ['Animalia']
"Astraeus (Depollus) dedariensis Barker, 1975",,Animalia,Arthropoda,Insecta,Coleoptera,"Buprestidae Leach, 1815",,"User defined circle: [[119.76839, -32.10358]] 20.0 km.",kingdoms: ['Animalia']
"Austrogymnocnemia bipunctata (Esben-Petersen, 1915)",,Animalia,,,,,,"User defined circle: [[119.76839, -32.10358]] 20.0 km.",kingdoms: ['Animalia']
"Branchinella longirostris Wolf, 1911",,Animalia,,,,,,"User defined circle: [[119.76839, -32.10358]] 20.0 km.",kingdoms: ['Animalia']
"Canis familiaris L., 1758",,Animalia,Chordata,Mammalia,Carnivora,Canidae,alien,"User defined circle: [[119.76839, -32.10358]] 20.0 km.",kingdoms: ['Animalia']
"Castiarina adusta Barker, 1996",,Animalia,,,,,,"User defined circle: [[119.76839, -32.10358]] 20.0 km.",kingdoms: ['Animalia']
"Castiarina gardnerae (Barker, 1987)",,Animalia,,,,,,"User defined circle: [[119.76839, -32.10358]] 20.0 km.",kingdoms: ['Animalia']
"Castiarina sexnotata (Carter, 1916)",,Animalia,,,,,,"User defined circle: [[119.76839, -32.10358]] 20.0 km.",kingdoms: ['Animalia']
"Castiarina subnotata (Carter, 1933)",,Animalia,,,,,,"User defined circle: [[119.76839, -32.10358]] 20.0 km.",kingdoms: ['Animalia']
"Chalcites basalis (Horsfield, 1821)",,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,native,"User defined circle: [[119.76839, -32.10358]] 20.0 km.",kingdoms: ['Animalia']
"Chalcites osculans Gould, 1847",,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,native,"User defined circle: [[119.76839, -32.10358]] 20.0 km.",kingdoms: ['Animalia']
"Cinclosoma clarum Morgan, 1926",,Animalia,Chordata,Aves,Passeriformes,Cinclosomatidae,native,"User defined circle: [[119.76839, -32.10358]] 20.0 km.",kingdoms: ['Animalia']
"Colluricincla harmonica (Latham, 1802)",,Animalia,Chordata,Aves,Passeriformes,Pachycephalidae,native,"User defined circle: [[119.76839, -32.10358]] 20.0 km.",kingdoms: ['Animalia']
"Coracina novaehollandiae (Gmelin, 1789)",,Animalia,Chordata,Aves,Passeriformes,Campephagidae,native,"User defined circle: [[119.76839, -32.10358]] 20.0 km.",kingdoms: ['Animalia']
"Crenadactylus ocellatus (Gray, 1845)",,Animalia,Chordata,Reptilia,Squamata,Diplodactylidae,native,"User defined circle: [[119.76839, -32.10358]] 20.0 km.",kingdoms: ['Animalia']
