Accepted name (dwc:acceptedNameUsage),Conservation code (dwc:threatStatus),Kingdom (dwc:kingdom),Phylum (dwc:phylum),Class (dwc:class),Order (dwc:order),Family (dwc:family),Native/introduced/feral (dwc:establishmentMeans),Search Area,Search Parameters
"Acanthiza apicalis Gould, 1847",,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,native,"User defined circle: [[121.6478, -32.1019]] 20.0 km.",kingdoms: ['Animalia']
"Acanthiza chrysorrhoa (Quoy & Gaimard, 1830)",,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,native,"User defined circle: [[121.6478, -32.1019]] 20.0 km.",kingdoms: ['Animalia']
"Accipiter cirrocephalus (Vieillot, 1817)",,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,native,"User defined circle: [[121.6478, -32.1019]] 20.0 km.",kingdoms: ['Animalia']
"Amblyomma Koch, 1844",,Animalia,Arthropoda,Arachnida,Ixodida,Ixodidae,,"User defined circle: [[121.6478, -32.1019]] 20.0 km.",kingdoms: ['Animalia']
"Amitermes exilis (Hill, 1935)",,Animalia,Arthropoda,Insecta,Blattodea,Termitidae,,"User defined circle: [[121.6478, -32.1019]] 20.0 km.",kingdoms: ['Animalia']
"Aname L. Koch, 1873",,Animalia,Arthropoda,Arachnida,Araneae,Anamidae,,"User defined circle: [[121.6478, -32.1019]] 20.0 km.",kingdoms: ['Animalia']
Anaxilaus,,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,,"User defined circle: [[121.6478, -32.1019]] 20.0 km.",kingdoms: ['Animalia']
"Anilios australis Gray, 1845",,Animalia,Chordata,Reptilia,Squamata,Typhlopidae,native,"User defined circle: [[121.6478, -32.1019]] 20.0 km.",kingdoms: ['Animalia']
"Anilios bituberculatus (Peters, 1863)",,Animalia,Chordata,Reptilia,Squamata,Typhlopidae,native,"User defined circle: [[121.6478, -32.1019]] 20.0 km.",kingdoms: ['Animalia']
"Anisops thienemanni Lundblad, 1933",,Animalia,Arthropoda,Insecta,Hemiptera,Notonectidae,,"User defined circle: [[121.6478, -32.1019]] 20.0 km.",kingdoms: ['Animalia']
"Anthochaera carunculata (Shaw, 1790)",,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,native,"User defined circle: [[121.6478, -32.1019]] 20.0 km.",kingdoms: ['Animalia']
"Antichiropus Attems, 1911",,Animalia,Arthropoda,Diplopoda,Polydesmida,Paradoxosomatidae,,"User defined circle: [[121.6478, -32.1019]] 20.0 km.",kingdoms: ['Animalia']
"Antichiropus exclamatus Car & Harvey, 2014",,Animalia,Arthropoda,Diplopoda,Polydesmida,Paradoxosomatidae,,"User defined circle: [[121.6478, -32.1019]] 20.0 km.",kingdoms: ['Animalia']
"Aphaenogaster mediterrae Shattuck, 2008",,Animalia,,,,,,"User defined circle: [[121.6478, -32.1019]] 20.0 km.",kingdoms: ['Animalia']
"Aplerotus maculatus Dallas, 1851",,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,,"User defined circle: [[121.6478, -32.1019]] 20.0 km.",kingdoms: ['Animalia']
"Aposites niger Blackburn, 1892",,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,,"User defined circle: [[121.6478, -32.1019]] 20.0 km.",kingdoms: ['Animalia']
"Apsenterotermes iridipennis (Gay, 1956)",,Animalia,,,,,,"User defined circle: [[121.6478, -32.1019]] 20.0 km.",kingdoms: ['Animalia']
"Araneae Clerck, 1757",,Animalia,Arthropoda,Arachnida,Araneae,,,"User defined circle: [[121.6478, -32.1019]] 20.0 km.",kingdoms: ['Animalia']
Araneomorphae,,Animalia,Arthropoda,Arachnida,Araneae,,,"User defined circle: [[121.6478, -32.1019]] 20.0 km.",kingdoms: ['Animalia']
"Ariadna phantasma Marsh, Hudson & Framenau, 2021",,Animalia,Arthropoda,Arachnida,Araneae,Segestriidae,,"User defined circle: [[121.6478, -32.1019]] 20.0 km.",kingdoms: ['Animalia']
"Ariadna thyrianthina Simon, 1908",,Animalia,Arthropoda,Arachnida,Araneae,Segestriidae,,"User defined circle: [[121.6478, -32.1019]] 20.0 km.",kingdoms: ['Animalia']
"Atesta angasii (Pascoe, 1864)",,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,,"User defined circle: [[121.6478, -32.1019]] 20.0 km.",kingdoms: ['Animalia']
"Australothis rubrescens (Walker, 1858)",,Animalia,,,,,,"User defined circle: [[121.6478, -32.1019]] 20.0 km.",kingdoms: ['Animalia']
"Backobourkia heroine (L. Koch, 1871)",,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,,"User defined circle: [[121.6478, -32.1019]] 20.0 km.",kingdoms: ['Animalia']
"Barnardius zonarius (Shaw, 1805)",,Animalia,Chordata,Aves,Psittaciformes,Psittaculidae,,"User defined circle: [[121.6478, -32.1019]] 20.0 km.",kingdoms: ['Animalia']
"Blackburnium reichei (Guérin-Méneville, 1838)",,Animalia,Arthropoda,Insecta,Coleoptera,Bolboceratidae,,"User defined circle: [[121.6478, -32.1019]] 20.0 km.",kingdoms: ['Animalia']
"Bostrychopsis jesuita (Fabricius, 1775)",,Animalia,Arthropoda,Insecta,Coleoptera,Bostrichidae,,"User defined circle: [[121.6478, -32.1019]] 20.0 km.",kingdoms: ['Animalia']
Bothriembryon,,Animalia,Mollusca,Gastropoda,Stylommatophora,Bulimulidae,,"User defined circle: [[121.6478, -32.1019]] 20.0 km.",kingdoms: ['Animalia']
"Buprestinae Leach, 1815",,Animalia,Arthropoda,Insecta,Coleoptera,Buprestidae,,"User defined circle: [[121.6478, -32.1019]] 20.0 km.",kingdoms: ['Animalia']
