Accepted name (dwc:acceptedNameUsage),Conservation code (dwc:threatStatus),Kingdom (dwc:kingdom),Phylum (dwc:phylum),Class (dwc:class),Order (dwc:order),Family (dwc:family),Native/introduced/feral (dwc:establishmentMeans),Search Area,Search Parameters
"Corvus orru Bonaparte, 1850",,Animalia,Chordata,Aves,Passeriformes,Corvidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Cracticus nigrogularis (Gould, 1837)",,Animalia,Chordata,Aves,Passeriformes,Artamidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Cracticus torquatus (Latham, 1802)",,Animalia,Chordata,Aves,Passeriformes,Artamidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Cryptoblepharus buchananii (Gray, 1838)",,Animalia,Chordata,Reptilia,Squamata,Scincidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Ctenophorus cristatus (Gray, 1841)",,Animalia,Chordata,Reptilia,Squamata,Agamidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Ctenophorus nuchalis (De Vis, 1884)",,Animalia,Chordata,Reptilia,Squamata,Agamidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Ctenophorus reticulatus (Gray, 1845)",,Animalia,Chordata,Reptilia,Squamata,Agamidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Ctenophorus salinarum (Storr, 1966)",,Animalia,Chordata,Reptilia,Squamata,Agamidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Ctenotus uber Storr, 1969",,Animalia,Chordata,Reptilia,Squamata,Scincidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Ctenotus uber uber Storr, 1969",,Animalia,Chordata,Reptilia,Squamata,Scincidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Cygnus atratus (Latham, 1790)",,Animalia,Chordata,Aves,Anseriformes,Anatidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Daphoenositta chrysoptera (Latham, 1802)",,Animalia,Chordata,Aves,Passeriformes,Neosittidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Dasyurus geoffroii Gould, 1841",VU,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Dicaeum hirundinaceum (Shaw, 1792)",,Animalia,Chordata,Aves,Passeriformes,Dicaeidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Diplodactylus granariensis Storr, 1979",,Animalia,Chordata,Reptilia,Squamata,Diplodactylidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Diplodactylus granariensis granariensis Storr, 1979",,Animalia,Chordata,Reptilia,Squamata,Diplodactylidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Dromaius novaehollandiae (Latham, 1790)",,Animalia,Chordata,Aves,Casuariiformes,Casuariidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Drymodes brunneopygia Gould, 1841",,Animalia,Chordata,Aves,Passeriformes,Petroicidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Egernia depressa (Günther, 1875)",,Animalia,Chordata,Reptilia,Squamata,Scincidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Egernia formosa Fry, 1914",,Animalia,Chordata,Reptilia,Squamata,Scincidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Eopsaltria griseogularis Gould, 1838",,Animalia,Chordata,Aves,Passeriformes,Petroicidae,,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Ephelotermes persimilis (Gay, 1971)",,Animalia,,,,,,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Epthianura albifrons (Jardine & Selby, 1828)",,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Eremiascincus richardsonii (Gray, 1845)",,Animalia,Chordata,Reptilia,Squamata,Scincidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Eretes australis (Erichson, 1842)",,Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Erina hyacinthina simplex (Tepper, 1882)",,Animalia,,,,,,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Eurostopodus argus Hartert, 1892",,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Falco berigora Vigors & Horsfield, 1827",,Animalia,Chordata,Aves,Falconiformes,Falconidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Gavicalis virescens (Vieillot, 1817)",,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Gehyra purpurascens Storr, 1982",,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Gehyra variegata (Duméril & Bibron, 1836)",,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Geogarypus taylori Harvey, 1986",,Animalia,Arthropoda,Arachnida,Pseudoscorpiones,Geogarypidae,,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Gerygone fusca (Gould, 1838)",,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Grallina cyanoleuca (Latham, 1802)",,Animalia,Chordata,Aves,Passeriformes,Monarchidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Gymnorhina tibicen (Latham, 1802)",,Animalia,Chordata,Aves,Passeriformes,Artamidae,,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Heliothis punctifera Walker, 1857",,Animalia,Arthropoda,Insecta,Lepidoptera,"Noctuidae Latreille, 1809",,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Hemiergis initialis initialis (Werner, 1910)",,Animalia,Chordata,Reptilia,Squamata,Scincidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Hesperoedura reticulata (Bustard, 1969)",,Animalia,Chordata,Reptilia,Squamata,Diplodactylidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Heteronotia binoei (Gray, 1845)",,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Heteroscenes pallidus (Latham, 1802)",,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Heterotermes occiduus (Hill, 1927)",,Animalia,Arthropoda,Insecta,"Blattodea Brunner von Wattenwyl, 1882",Rhinotermitidae,,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Himantopus himantopus (Linnaeus, 1758)",,Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Hirundo neoxena Gould, 1842",,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Hoggicosa castanea (Hogg, 1905)",,Animalia,Arthropoda,Arachnida,Araneae,Lycosidae,,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Hoggicosa storri (McKay, 1973)",,Animalia,Arthropoda,Arachnida,Araneae,Lycosidae,,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Idiosoma Ausserer, 1871",,Animalia,Arthropoda,Arachnida,Araneae,Idiopidae,,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Indolpium Hoff, 1945",,Animalia,Arthropoda,Arachnida,Pseudoscorpiones,Olpiidae,,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Iridomyrmex chasei Forel, 1902",,Animalia,Arthropoda,Insecta,Hymenoptera,"Formicidae Latreille, 1809",,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Iridomyrmex dromus Clark, 1938",,Animalia,Arthropoda,Insecta,Hymenoptera,"Formicidae Latreille, 1809",,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Iridomyrmex purpureus (Smith, 1858)",,Animalia,Arthropoda,Insecta,Hymenoptera,"Formicidae Latreille, 1809",,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Lamponina scutata (Strand, 1913)",,Animalia,Arthropoda,Arachnida,Araneae,Lamponidae,,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Leipoa ocellata Gould, 1840",VU,Animalia,Chordata,Aves,Galliformes,Megapodiidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Lerista muelleri (Fischer, 1881)",,Animalia,Chordata,Reptilia,Squamata,Scincidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Lerista picturata (Fry, 1914)",,Animalia,Chordata,Reptilia,Squamata,Scincidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Lichmera indistincta (Vigors & Horsfield, 1827)",,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Lucasium maini (Kluge, 1962)",,Animalia,Chordata,Reptilia,Squamata,Diplodactylidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Lycosa yalkara McKay, 1979",,Animalia,,,,,,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
Malachiinae,,Animalia,Arthropoda,Insecta,Coleoptera,Melyridae,,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Malacorhynchus membranaceus (Latham, 1802)",,Animalia,Chordata,Aves,Anseriformes,Anatidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Malurus leucopterus Dumont, 1824",,Animalia,Chordata,Aves,Passeriformes,Maluridae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Malurus pulcherrimus Gould, 1844",,Animalia,Chordata,Aves,Passeriformes,Maluridae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Malurus splendens (Quoy & Gaimard, 1830)",,Animalia,Chordata,Aves,Passeriformes,Maluridae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Manorina flavigula (Gould, 1840)",,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Melithreptus brevirostris (Vigors & Horsfield, 1827)",,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Merops ornatus Latham, 1802",,Animalia,Chordata,Aves,Coraciiformes,Meropidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Microeca fascinans (Latham, 1802)",,Animalia,Chordata,Aves,Passeriformes,Petroicidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Missulena Walckenaer, 1805",,Animalia,Arthropoda,Arachnida,Araneae,Actinopodidae,,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Moloch horridus Gray, 1841",,Animalia,Chordata,Reptilia,Squamata,Agamidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Myrmecia vindex Smith, 1858",,Animalia,Arthropoda,Insecta,Hymenoptera,"Formicidae Latreille, 1809",,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Neobatrachus kunapalari Mahony & Roberts, 1986",,Animalia,Chordata,Amphibia,Anura,Limnodynastidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Nesoptilotis leucotis (Latham & Günther, 1802)",,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Nicodamus mainae Harvey, 1995",,Animalia,Arthropoda,Arachnida,Araneae,Nicodamidae,,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Oligodectes mallee Rentz, 1985",,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Oreoica gutturalis (Vigors & Horsfield, 1827)",,Animalia,Chordata,Aves,Passeriformes,Oreoicidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Pachycephala inornata Gould, 1841",,Animalia,Chordata,Aves,Passeriformes,Pachycephalidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Pachycephala occidentalis Ramsay, 1878",,Animalia,Chordata,Aves,Passeriformes,Pachycephalidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Pachycephala rufiventris (Latham, 1802)",,Animalia,Chordata,Aves,Passeriformes,Pachycephalidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Pardalotus striatus (Gmelin, 1789)",,Animalia,Chordata,Aves,Passeriformes,Pardalotidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Parvipsitta porphyrocephala (Dietrichsen, 1837)",,Animalia,Chordata,Aves,Psittaciformes,Psittaculidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Pelicinus Simon, 1892",,Animalia,Arthropoda,Arachnida,Araneae,Oonopidae,,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Petrochelidon nigricans (Vieillot, 1817)",,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Petroica goodenovii (Vigors & Horsfield, 1827)",,Animalia,Chordata,Aves,Passeriformes,Petroicidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Phaps chalcoptera (Latham, 1790)",,Animalia,Chordata,Aves,Columbiformes,Columbidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Phoracantha obscura (Donovan, 1805)",,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Phoracantha rugithoracica Wang, 1995",,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Podargus strigoides (Latham, 1802)",,Animalia,Chordata,Aves,Caprimulgiformes,Podargidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Poliocephalus poliocephalus (Jardine & Selby, 1827)",,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Polyzosteria pubescens Tepper, 1893",,Animalia,Arthropoda,Insecta,"Blattodea Brunner von Wattenwyl, 1882",Blattidae,,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Pomatostomus superciliosus (Vigors & Horsfield, 1827)",,Animalia,Chordata,Aves,Passeriformes,Pomatostomidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Porzana fluminea Gould, 1843",,Animalia,Chordata,Aves,Gruiformes,Rallidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Proshermacha Simon, 1908",,Animalia,Arthropoda,Arachnida,Araneae,Anamidae,,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Protochelifer Beier, 1948",,Animalia,Arthropoda,Arachnida,Pseudoscorpiones,Cheliferidae,,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Psephotellus varius (Clark & AH, 1910)",,Animalia,Chordata,Aves,Psittaciformes,Psittaculidae,,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Pseudechis australis (Gray, 1842)",,Animalia,Chordata,Reptilia,Squamata,Elapidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Pseudonaja mengdeni Wells & Wellington, 1985",,Animalia,Chordata,Reptilia,Squamata,Elapidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Purnella albifrons Gould, 1841",,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Pygopus lepidopodus (Lacépède, 1804)",,Animalia,Chordata,Reptilia,Squamata,Pygopodidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Pyrrholaemus brunneus Gould, 1841",,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Rhipidura leucophrys (Latham, 1802)",,Animalia,Chordata,Aves,Passeriformes,Rhipiduridae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Smicrornis brevirostris (Gould, 1838)",,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Sminthopsis dolichura Kitchener, Stoddart & Henry, 1984",,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Strepera versicolor (Latham, 1802)",,Animalia,Chordata,Aves,Passeriformes,Cracticidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Sundochernes Beier, 1932",,Animalia,Arthropoda,Arachnida,Pseudoscorpiones,Chernetidae,,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Suta gouldii (Gray, 1841)",,Animalia,Chordata,Reptilia,Squamata,Elapidae,,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Synsphyronus Chamberlin, 1930",,Animalia,Arthropoda,Arachnida,Pseudoscorpiones,Garypidae,uncertain,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
