Accepted name (dwc:acceptedNameUsage),Conservation code (dwc:threatStatus),Kingdom (dwc:kingdom),Phylum (dwc:phylum),Class (dwc:class),Order (dwc:order),Family (dwc:family),Native/introduced/feral (dwc:establishmentMeans),Search Area,Search Parameters
"Acanthagenys rufogularis Gould, 1838",,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Acanthiza apicalis Gould, 1847",,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Acanthiza chrysorrhoa (Quoy & Gaimard, 1830)",,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Acanthiza robustirostris Milligan, 1903",,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Acanthiza uropygialis Gould, 1838",,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Accipiter cirrocephalus (Vieillot, 1817)",,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Ahamitermes hillii Nicholls, 1929",,Animalia,Arthropoda,Insecta,"Blattodea Brunner von Wattenwyl, 1882",Termitidae,,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Allodessus bistrigatus (Clark, 1862)",,Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Aname L. Koch, 1873",,Animalia,Arthropoda,Arachnida,Araneae,Anamidae,,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Anas gracilis Buller, 1869",,Animalia,Chordata,Aves,Anseriformes,Anatidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Anas superciliosa Gmelin, 1789",,Animalia,Chordata,Aves,Anseriformes,Anatidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Anilios bicolor (Peters, 1857)",,Animalia,Chordata,Reptilia,Squamata,Typhlopidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Anthochaera carunculata (Shaw, 1790)",,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Apsenterotermes iridipennis (Gay, 1956)",,Animalia,,,,,,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Aquila audax (Latham, 1802)",,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Araneinae Clerck, 1758",,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Artamus cyanopterus (Latham, 1802)",,Animalia,Chordata,Aves,Passeriformes,Artamidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Australothis rubrescens (Walker, 1858)",,Animalia,,,,,,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Barnardius zonarius (Shaw, 1805)",,Animalia,Chordata,Aves,Psittaciformes,Psittaculidae,,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Beierolpium Heurtault, 1976",,Animalia,Arthropoda,Arachnida,Pseudoscorpiones,Olpiidae,,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Brachyurophis semifasciatus (Günther, 1863)",,Animalia,Chordata,Reptilia,Squamata,Elapidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Bungulla Rix, Main, Raven & Harvey, 2017",,Animalia,Arthropoda,Arachnida,Araneae,Idiopidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Cacatua roseicapilla Vieillot, 1817",,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Camponotus nigriceps (Smith, 1858)",,Animalia,Arthropoda,Insecta,Hymenoptera,"Formicidae Latreille, 1809",,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Chalcites basalis (Horsfield, 1821)",,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Chenonetta jubata (Latham, 1802)",,Animalia,Chordata,Aves,Anseriformes,Anatidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Cheramoeca leucosterna (Gould, 1841)",,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Cinclosoma clarum Morgan, 1926",,Animalia,Chordata,Aves,Passeriformes,Cinclosomatidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Cladorhynchus leucocephalus (Vieillot, 1816)",,Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Climacteris rufus Gould, 1841",,Animalia,Chordata,Aves,Passeriformes,Climacteridae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Colluricincla harmonica (Latham, 1802)",,Animalia,Chordata,Aves,Passeriformes,Pachycephalidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Conothele Thorell, 1878",,Animalia,Arthropoda,Arachnida,Araneae,Halonoproctidae,,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Coptotermes acinaciformis (Froggatt, 1898)",,Animalia,,,,,,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Coptotermes frenchi Hill, 1932",,Animalia,,,,,,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Coracina maxima (Rüppell, 1839)",,Animalia,Chordata,Aves,Passeriformes,Campephagidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Coracina novaehollandiae (Gmelin, 1789)",,Animalia,Chordata,Aves,Passeriformes,Campephagidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Corvus bennetti North, 1901",,Animalia,Chordata,Aves,Passeriformes,Corvidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
"Corvus coronoides Vigors & Horsfield, 1827",,Animalia,Chordata,Aves,Passeriformes,Corvidae,native,"User defined circle: [[121.46333, -31.07445]] 20.0 km.",kingdoms: ['Animalia']
