Accepted name (dwc:acceptedNameUsage),Conservation code (dwc:threatStatus),Kingdom (dwc:kingdom),Phylum (dwc:phylum),Class (dwc:class),Order (dwc:order),Family (dwc:family),Native/introduced/feral (dwc:establishmentMeans),Search Area,Search Parameters
"Acanthagenys rufogularis Gould, 1838",,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,native,"User defined circle: [[121.793, -28.8633]] 20.0 km.",kingdoms: ['Animalia']
"Acanthiza apicalis Gould, 1847",,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,native,"User defined circle: [[121.793, -28.8633]] 20.0 km.",kingdoms: ['Animalia']
"Acanthiza chrysorrhoa (Quoy & Gaimard, 1830)",,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,native,"User defined circle: [[121.793, -28.8633]] 20.0 km.",kingdoms: ['Animalia']
"Acanthiza robustirostris Milligan, 1903",,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,native,"User defined circle: [[121.793, -28.8633]] 20.0 km.",kingdoms: ['Animalia']
"Acanthiza uropygialis Gould, 1838",,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,native,"User defined circle: [[121.793, -28.8633]] 20.0 km.",kingdoms: ['Animalia']
"Accipiter cirrocephalus (Vieillot, 1817)",,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,native,"User defined circle: [[121.793, -28.8633]] 20.0 km.",kingdoms: ['Animalia']
"Aegotheles cristatus (Shaw, 1790)",,Animalia,Chordata,Aves,Apodiformes,Aegothelidae,native,"User defined circle: [[121.793, -28.8633]] 20.0 km.",kingdoms: ['Animalia']
"Aname L. Koch, 1873",,Animalia,Arthropoda,Arachnida,Araneae,Anamidae,,"User defined circle: [[121.793, -28.8633]] 20.0 km.",kingdoms: ['Animalia']
"Anamesia frenchii Tepper, 1893",,Animalia,,,,,,"User defined circle: [[121.793, -28.8633]] 20.0 km.",kingdoms: ['Animalia']
"Anamidae Simon, 1889",,Animalia,Arthropoda,Arachnida,Araneae,Anamidae,,"User defined circle: [[121.793, -28.8633]] 20.0 km.",kingdoms: ['Animalia']
"Anas superciliosa Gmelin, 1789",,Animalia,Chordata,Aves,Anseriformes,Anatidae,native,"User defined circle: [[121.793, -28.8633]] 20.0 km.",kingdoms: ['Animalia']
"Anilios hamatus (Storr, 1981)",,Animalia,Chordata,Reptilia,Squamata,Typhlopidae,native,"User defined circle: [[121.793, -28.8633]] 20.0 km.",kingdoms: ['Animalia']
"Anilios waitii (Boulenger, 1895)",,Animalia,Chordata,Reptilia,Squamata,Typhlopidae,native,"User defined circle: [[121.793, -28.8633]] 20.0 km.",kingdoms: ['Animalia']
"Antaresia stimsoni (Smith, 1985)",,Animalia,Chordata,Reptilia,Squamata,Pythonidae,native,"User defined circle: [[121.793, -28.8633]] 20.0 km.",kingdoms: ['Animalia']
"Antechinomys laniger (Gould, 1856)",,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,native,"User defined circle: [[121.793, -28.8633]] 20.0 km.",kingdoms: ['Animalia']
"Antechinomys longicaudatus (Spencer, 1909)",P4,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,,"User defined circle: [[121.793, -28.8633]] 20.0 km.",kingdoms: ['Animalia']
"Aphelocephala leucopsis (Gould, 1841)",,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,native,"User defined circle: [[121.793, -28.8633]] 20.0 km.",kingdoms: ['Animalia']
"Aprasia picturata Smith & Henry, 1999",,Animalia,Chordata,Reptilia,Squamata,Pygopodidae,native,"User defined circle: [[121.793, -28.8633]] 20.0 km.",kingdoms: ['Animalia']
"Aquila audax (Latham, 1802)",,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,native,"User defined circle: [[121.793, -28.8633]] 20.0 km.",kingdoms: ['Animalia']
"Ardeotis australis (J.E. Gray, 1829)",,Animalia,Chordata,Aves,Otidiformes,Otididae,native,"User defined circle: [[121.793, -28.8633]] 20.0 km.",kingdoms: ['Animalia']
