Accepted name (dwc:acceptedNameUsage),Conservation code (dwc:threatStatus),Kingdom (dwc:kingdom),Phylum (dwc:phylum),Class (dwc:class),Order (dwc:order),Family (dwc:family),Native/introduced/feral (dwc:establishmentMeans),Search Area,Search Parameters
"Aname L. Koch, 1873",,Animalia,Arthropoda,Arachnida,Araneae,Anamidae,,"User defined circle: [[123.1924, -31.8199]] 20.0 km.",kingdoms: ['Animalia']
"Antichiropus Attems, 1911",,Animalia,Arthropoda,Diplopoda,Polydesmida,Paradoxosomatidae,,"User defined circle: [[123.1924, -31.8199]] 20.0 km.",kingdoms: ['Animalia']
"Astraeus (Astraeus) crockerae Barker, 1977",,Animalia,Arthropoda,Insecta,Coleoptera,Buprestidae,,"User defined circle: [[123.1924, -31.8199]] 20.0 km.",kingdoms: ['Animalia']
"Astraeus (Astraeus) obscurus Barker, 1975",,Animalia,Arthropoda,Insecta,Coleoptera,Buprestidae,,"User defined circle: [[123.1924, -31.8199]] 20.0 km.",kingdoms: ['Animalia']
"Camponotus chalceus Crawley, 1915",,Animalia,Arthropoda,Insecta,Hymenoptera,"Formicidae Latreille, 1809",,"User defined circle: [[123.1924, -31.8199]] 20.0 km.",kingdoms: ['Animalia']
"Cethegus ischnotheloides Raven, 1985",,Animalia,Arthropoda,Arachnida,Araneae,Euagridae,,"User defined circle: [[123.1924, -31.8199]] 20.0 km.",kingdoms: ['Animalia']
"Ctenophorus cristatus (Gray, 1841)",,Animalia,Chordata,Reptilia,Squamata,Agamidae,native,"User defined circle: [[123.1924, -31.8199]] 20.0 km.",kingdoms: ['Animalia']
"Ctenotus atlas Storr, 1969",,Animalia,Chordata,Reptilia,Squamata,Scincidae,native,"User defined circle: [[123.1924, -31.8199]] 20.0 km.",kingdoms: ['Animalia']
"Delena Walckenaer, 1833",,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,"User defined circle: [[123.1924, -31.8199]] 20.0 km.",kingdoms: ['Animalia']
"Diporiphora reginae Glauert, 1959",,Animalia,Chordata,Reptilia,Squamata,Agamidae,native,"User defined circle: [[123.1924, -31.8199]] 20.0 km.",kingdoms: ['Animalia']
"Holconia westralia Hirst, 1991",,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,"User defined circle: [[123.1924, -31.8199]] 20.0 km.",kingdoms: ['Animalia']
"Idiosoma Ausserer, 1871",,Animalia,Arthropoda,Arachnida,Araneae,Idiopidae,,"User defined circle: [[123.1924, -31.8199]] 20.0 km.",kingdoms: ['Animalia']
"Isometroides Keyserling, 1885",,Animalia,Arthropoda,Arachnida,Scorpiones,Buthidae,,"User defined circle: [[123.1924, -31.8199]] 20.0 km.",kingdoms: ['Animalia']
"Isopedella cana (Simon, 1908)",,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,,"User defined circle: [[123.1924, -31.8199]] 20.0 km.",kingdoms: ['Animalia']
"Leipoa ocellata Gould, 1840",VU,Animalia,Chordata,Aves,Galliformes,Megapodiidae,native,"User defined circle: [[123.1924, -31.8199]] 20.0 km.",kingdoms: ['Animalia']
"Lipotriches (Austronomia) flavoviridis (Cockerell, 1905)",,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,,"User defined circle: [[123.1924, -31.8199]] 20.0 km.",kingdoms: ['Animalia']
"Lychas C.L. Koch, 1845",,Animalia,Arthropoda,Arachnida,Scorpiones,Buthidae,,"User defined circle: [[123.1924, -31.8199]] 20.0 km.",kingdoms: ['Animalia']
"Neobatrachus sutor Main, 1957",,Animalia,Chordata,Amphibia,Anura,Limnodynastidae,native,"User defined circle: [[123.1924, -31.8199]] 20.0 km.",kingdoms: ['Animalia']
"Paroplocephalus atriceps (Storr, 1980)",P3,Animalia,Chordata,Reptilia,Squamata,Elapidae,native,"User defined circle: [[123.1924, -31.8199]] 20.0 km.",kingdoms: ['Animalia']
"Proshermacha Simon, 1908",,Animalia,Arthropoda,Arachnida,Araneae,Anamidae,,"User defined circle: [[123.1924, -31.8199]] 20.0 km.",kingdoms: ['Animalia']
"Pseudophryne occidentalis Parker, 1940",,Animalia,Chordata,Amphibia,Anura,Myobatrachidae,native,"User defined circle: [[123.1924, -31.8199]] 20.0 km.",kingdoms: ['Animalia']
"Synothele Simon, 1908",,Animalia,Arthropoda,Arachnida,Araneae,Barychelidae,,"User defined circle: [[123.1924, -31.8199]] 20.0 km.",kingdoms: ['Animalia']
"Synsphyronus Chamberlin, 1930",,Animalia,Arthropoda,Arachnida,Pseudoscorpiones,Garypidae,uncertain,"User defined circle: [[123.1924, -31.8199]] 20.0 km.",kingdoms: ['Animalia']
