Accepted name (dwc:acceptedNameUsage),Conservation code (dwc:threatStatus),Kingdom (dwc:kingdom),Phylum (dwc:phylum),Class (dwc:class),Order (dwc:order),Family (dwc:family),Native/introduced/feral (dwc:establishmentMeans),Search Area,Search Parameters
"Acanthiza uropygialis Gould, 1838",,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,native,"User defined circle: [[128.95983, -26.05681]] 20.0 km.",kingdoms: ['Animalia']
"Amegilla (Notomegilla) chlorocyanea (Cockerell, 1914)",,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,"User defined circle: [[128.95983, -26.05681]] 20.0 km.",kingdoms: ['Animalia']
"Amitermes germanus (Hill, 1915)",,Animalia,Arthropoda,Insecta,Blattodea,Termitidae,,"User defined circle: [[128.95983, -26.05681]] 20.0 km.",kingdoms: ['Animalia']
"Amytornis purnelli (Mathews, 1914)",,Animalia,Chordata,Aves,Passeriformes,Maluridae,native,"User defined circle: [[128.95983, -26.05681]] 20.0 km.",kingdoms: ['Animalia']
"Aname L. Koch, 1873",,Animalia,Arthropoda,Arachnida,Araneae,Anamidae,,"User defined circle: [[128.95983, -26.05681]] 20.0 km.",kingdoms: ['Animalia']
Anaminae,,Animalia,Arthropoda,Arachnida,Araneae,Anamidae,,"User defined circle: [[128.95983, -26.05681]] 20.0 km.",kingdoms: ['Animalia']
"Araneus eburneiventris (Simon, 1908)",,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,,"User defined circle: [[128.95983, -26.05681]] 20.0 km.",kingdoms: ['Animalia']
Arawa,,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,,"User defined circle: [[128.95983, -26.05681]] 20.0 km.",kingdoms: ['Animalia']
"Argiope protensa L. Koch, 1872",,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,mixed,"User defined circle: [[128.95983, -26.05681]] 20.0 km.",kingdoms: ['Animalia']
"Asteron Jocqué, 1991",,Animalia,Arthropoda,Arachnida,Araneae,Zodariidae,,"User defined circle: [[128.95983, -26.05681]] 20.0 km.",kingdoms: ['Animalia']
"Austracantha minax (Thorell, 1859)",,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,,"User defined circle: [[128.95983, -26.05681]] 20.0 km.",kingdoms: ['Animalia']
"Australobolbus basedowi (Blackburn, 1904)",,Animalia,,,,,,"User defined circle: [[128.95983, -26.05681]] 20.0 km.",kingdoms: ['Animalia']
"Austrogymnocnemia Esben-Petersen, 1917",,Animalia,Arthropoda,Insecta,Neuroptera,Myrmeleontidae,,"User defined circle: [[128.95983, -26.05681]] 20.0 km.",kingdoms: ['Animalia']
Austromalaya,,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,,"User defined circle: [[128.95983, -26.05681]] 20.0 km.",kingdoms: ['Animalia']
"Backobourkia collina (Keyserling, 1886)",,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,,"User defined circle: [[128.95983, -26.05681]] 20.0 km.",kingdoms: ['Animalia']
"Bandidus Navás, 1914",,Animalia,Arthropoda,Insecta,Neuroptera,Myrmeleontidae,,"User defined circle: [[128.95983, -26.05681]] 20.0 km.",kingdoms: ['Animalia']
"Blakistonia wingellina Harrison, Rix, Harvey & Austin, 2018",,Animalia,,,,,,"User defined circle: [[128.95983, -26.05681]] 20.0 km.",kingdoms: ['Animalia']
Bolboceratidae,,Animalia,Arthropoda,Insecta,Coleoptera,Bolboceratidae,,"User defined circle: [[128.95983, -26.05681]] 20.0 km.",kingdoms: ['Animalia']
"Brachyhesma Michener, 1965",,Animalia,Arthropoda,Insecta,Hymenoptera,Colletidae,,"User defined circle: [[128.95983, -26.05681]] 20.0 km.",kingdoms: ['Animalia']
Braunsapis,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,"User defined circle: [[128.95983, -26.05681]] 20.0 km.",kingdoms: ['Animalia']
"Buprestidae Leach, 1815",,Animalia,Arthropoda,Insecta,Coleoptera,Buprestidae,,"User defined circle: [[128.95983, -26.05681]] 20.0 km.",kingdoms: ['Animalia']
"Burbunga hillieri (Distant, 1907)",,Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,,"User defined circle: [[128.95983, -26.05681]] 20.0 km.",kingdoms: ['Animalia']
"Buthidae C.L. Koch, 1837",,Animalia,Arthropoda,Arachnida,Scorpiones,Buthidae,,"User defined circle: [[128.95983, -26.05681]] 20.0 km.",kingdoms: ['Animalia']
"Caeculidae Berlese, 1883",,Animalia,Arthropoda,Arachnida,Trombidiformes,Caeculidae,,"User defined circle: [[128.95983, -26.05681]] 20.0 km.",kingdoms: ['Animalia']
"Caedicia Stål, 1874",,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,,"User defined circle: [[128.95983, -26.05681]] 20.0 km.",kingdoms: ['Animalia']
"Canis familiaris L., 1758",,Animalia,Chordata,Mammalia,Carnivora,Canidae,alien,"User defined circle: [[128.95983, -26.05681]] 20.0 km.",kingdoms: ['Animalia']
